Id,TipoDeClaseMS,ZonificaciónMS,FrenteLote,ÁreaLote,Calle,Callejón,FormaLote,ContornoTerreno,Servicios,ConfiguraciónLote,PendienteTerreno,Vecindario,Condición1,Condición2,TipoEdificio,EstiloCasa,CalidadGeneral,CondiciónGeneral,AñoConstrucción,AñoRenovación,EstiloTecho,MaterialTecho,Exterior1,Exterior2,TipoRevestimientoMampostería,ÁreaRevestimientoMampostería,CalidadExterior,CondiciónExterior,Cimentación,CalidadSótano,CondiciónSótano,ExposiciónSótano,TipoAcabadoSótano1,MetrosAcabadosSótano1,TipoAcabadoSótano2,MetrosAcabadosSótano2,MetrosNoAcabadosSótano,MetrosTotalesSótano,Calefacción,CalidadCalefacción,AireAcondicionadoCentral,Eléctrico,Metros1raPlanta,Metros2daPlanta,MetrosBajaCalidad,MetrosHabitables,BañosCompletosSótano,MediosBañosSótano,BañosCompletos,MediosBaños,DormitoriosSobreSuelo,CocinasSobreSuelo,CalidadCocina,TotalHabitacionesSobreSuelo,Funcionalidad,Chimeneas,CalidadChimenea,TipoGaraje,AñoConstrucciónGaraje,AcabadoGaraje,CochesGaraje,ÁreaGaraje,CalidadGaraje,CondiciónGaraje,EntradaPavimentada,MetrosDeckMadera,MetrosPorcheAbierto,MetrosPorcheCerrado,MetrosPorche3Estaciones,MetrosPorcheMalla,ÁreaPiscina,CalidadPiscina,Cerca,CaracterísticaExtra,ValorExtra,MesVenta,AñoVenta,TipoVenta,CondiciónVenta,PrecioVenta
17,20,RL,,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,53.697934,Unf,0.0,39.576678,93.274612,GasA,Ex,Y,SBrkr,93.274612,0.0,0.0,93.274612,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0,,,Shed,700,3,2010,WD,Normal,149000
18,90,RL,72.0,10791,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,120.402288,0.0,0.0,120.402288,0,0,2,0,2,2,TA,6,Typ,0,,CarPort,1967.0,Unf,2,516,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0,,,Shed,500,10,2006,WD,Normal,90000
19,20,RL,66.0,13695,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,GLQ,60.015338,Unf,0.0,43.478604,103.493942,GasA,Ex,Y,SBrkr,103.493942,0.0,0.0,103.493942,1,0,1,1,3,1,Gd,6,Typ,0,,Detchd,2004.0,Unf,2,576,TA,TA,Y,0.0,9.476106,0.0,0.0,0.0,0,,,,0,6,2008,WD,Normal,159000
20,20,RL,70.0,7560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,46.823112,Unf,0.0,48.774074999999996,95.597187,GasA,TA,Y,SBrkr,124.397117,0.0,0.0,124.397117,0,0,1,0,3,1,TA,6,Min1,0,,Attchd,1958.0,Unf,1,294,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0,,MnPrv,,0,5,2009,COD,Abnorml,139000
21,60,RL,101.0,14215,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,107.58167399999999,107.58167399999999,GasA,Ex,Y,SBrkr,107.58167399999999,113.155854,0.0,220.737528,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,22.29672,14.307062,0.0,0.0,0.0,0,,,,0,11,2006,New,Partial,325300
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,59.179211,59.179211,GasA,Ex,Y,FuseF,102.936524,0.0,0.0,102.936524,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0.0,0.0,19.045115,0.0,0.0,0,,GdPrv,,0,6,2007,WD,Normal,139400
23,20,RL,75.0,9742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,165.088631,165.088631,GasA,Ex,Y,SBrkr,166.760885,0.0,0.0,166.760885,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,15.886413,14.771577,0.0,0.0,0.0,0,,,,0,9,2008,WD,Normal,230000
24,120,RM,44.0,4224,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,78.03852,Unf,0.0,18.5806,96.61912,GasA,TA,Y,SBrkr,98.47718,0.0,0.0,98.47718,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,9.2903,10.21933,0.0,0.0,0.0,0,,,,0,6,2007,WD,Normal,129900
25,20,RL,,8246,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,17.465764,ALQ,62.059204,18.952212,98.47718,GasA,Ex,Y,SBrkr,98.47718,0.0,0.0,98.47718,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,37.718618,8.36127,0.0,0.0,0.0,0,,MnPrv,,0,5,2010,WD,Normal,154000
26,20,RL,110.0,14230,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,145.486098,145.486098,GasA,Ex,Y,SBrkr,148.6448,0.0,0.0,148.6448,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0.0,5.202568,0.0,0.0,0.0,0,,,,0,7,2009,WD,Normal,256300
27,20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,21.739302,Rec,45.150858,16.72254,83.6127,GasA,TA,Y,SBrkr,83.6127,0.0,0.0,83.6127,0,1,1,0,3,1,Gd,5,Typ,0,,Detchd,2005.0,Unf,2,576,TA,TA,Y,20.624465999999998,2.972896,0.0,0.0,0.0,0,,,,0,5,2010,WD,Normal,134800
28,20,RL,98.0,11478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,113.155854,Unf,0.0,45.150858,158.306712,GasA,Ex,Y,SBrkr,158.306712,0.0,0.0,158.306712,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0.0,4.64515,0.0,0.0,0.0,0,,,,0,5,2010,WD,Normal,306000
29,20,RL,47.0,16321,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,118.637131,Unf,0.0,19.230921,137.868052,GasA,TA,Y,SBrkr,148.6448,0.0,0.0,148.6448,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,26.756064,23.968974,0.0,0.0,0.0,0,,,,0,12,2006,WD,Normal,207500
30,30,RM,60.0,6324,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,48.30956,48.30956,GasA,Fa,N,SBrkr,48.30956,0.0,0.0,48.30956,0,0,1,0,1,1,Fa,4,Typ,0,,Detchd,1920.0,Unf,1,240,Fa,TA,Y,4.552247,0.0,8.082561,0.0,0.0,0,,,,0,5,2008,WD,Normal,68500
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,60.294047,60.294047,GasA,TA,N,SBrkr,60.294047,62.059204,0.0,122.353251,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,1,250,TA,Fa,N,0.0,5.016762,15.979316,0.0,0.0,0,,MnPrv,,0,7,2008,WD,Normal,40000
32,20,RL,,8544,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,114.084884,114.084884,GasA,Gd,Y,SBrkr,114.084884,0.0,0.0,114.084884,0,0,1,1,3,1,Gd,6,Typ,0,,Attchd,1966.0,Unf,1,271,TA,TA,Y,0.0,6.038695,0.0,0.0,0.0,0,,MnPrv,,0,6,2008,WD,Normal,149350
33,20,RL,85.0,11049,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,114.642302,114.642302,GasA,Ex,Y,SBrkr,114.642302,0.0,0.0,114.642302,0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2007.0,RFn,2,484,TA,TA,Y,0.0,2.78709,0.0,0.0,0.0,0,,,,0,1,2008,WD,Normal,179900
34,20,RL,70.0,10552,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,,0.0,TA,TA,CBlock,TA,TA,No,Rec,94.575254,Unf,0.0,35.30314,129.878394,GasA,Gd,Y,SBrkr,157.9351,0.0,0.0,157.9351,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Y,0.0,3.530314,0.0,0.0,0.0,0,,,,0,4,2010,WD,Normal,165500
35,120,RL,60.0,7313,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,107.117159,Unf,0.0,37.904424,145.021583,GasA,Ex,Y,SBrkr,145.021583,0.0,0.0,145.021583,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,556,TA,TA,Y,18.859309,4.366441,0.0,0.0,0.0,0,,,,0,8,2007,WD,Normal,277500
36,60,RL,108.0,13418,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,103.772651,103.772651,GasA,Ex,Y,SBrkr,105.166196,122.63195999999999,0.0,227.798156,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,10.498039,2.972896,0.0,0.0,0.0,0,,,,0,9,2006,WD,Normal,309000
37,20,RL,112.0,10859,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,101.914591,101.914591,GasA,Ex,Y,SBrkr,101.914591,0.0,0.0,101.914591,0,0,1,1,3,1,TA,6,Typ,0,,Attchd,1995.0,Unf,2,672,TA,TA,Y,36.417976,5.945792,0.0,0.0,0.0,0,,,,0,6,2009,WD,Normal,145000
38,20,RL,74.0,8532,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,112.691339,Unf,0.0,7.803852,120.495191,GasA,Gd,Y,SBrkr,120.495191,0.0,0.0,120.495191,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,498,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0,,,,0,10,2009,WD,Normal,153000
39,20,RL,68.0,7922,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,67.912093,Unf,0.0,30.286378,98.198471,GasA,TA,Y,SBrkr,98.198471,0.0,0.0,98.198471,1,0,1,0,3,1,Gd,5,Typ,0,,Detchd,1953.0,Unf,1,246,TA,TA,Y,0.0,4.830956,0.0,0.0,0.0,0,,,,0,1,2010,WD,Abnorml,109000
40,90,RL,65.0,6040,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,,0.0,TA,TA,PConc,,,,,0.0,,0.0,0.0,0.0,GasA,TA,N,FuseP,107.024256,0.0,0.0,107.024256,0,0,2,0,2,2,Fa,6,Typ,0,,,,,0,0,,,N,0.0,0.0,0.0,0.0,0.0,0,,,,0,6,2008,WD,AdjLand,82000
41,20,RL,84.0,8658,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,59.736629,Unf,0.0,41.341835,101.078464,GasA,Ex,Y,SBrkr,123.003572,0.0,0.0,123.003572,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,440,TA,TA,Y,0.0,12.820613999999999,0.0,0.0,0.0,0,,GdWo,,0,12,2006,WD,Abnorml,160000
42,20,RL,115.0,16905,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,89.837201,Unf,0.0,35.581849,125.41905,GasA,Gd,Y,SBrkr,123.375184,0.0,0.0,123.375184,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,308,TA,TA,P,0.0,9.661912,0.0,0.0,0.0,0,,,,0,7,2007,WD,Normal,170000
43,85,RL,,9180,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,69.398541,LwQ,8.639979,0.0,78.03852,GasA,Gd,Y,SBrkr,82.126252,0.0,0.0,82.126252,1,0,1,0,2,1,Gd,5,Typ,0,,Attchd,1983.0,RFn,2,504,TA,Gd,Y,22.29672,0.0,0.0,0.0,0.0,0,,MnPrv,,0,12,2007,WD,Normal,144000
44,20,RL,,9200,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,26.01284,BLQ,45.615373,15.514801,87.143014,GasA,TA,Y,SBrkr,87.143014,0.0,0.0,87.143014,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1977.0,Unf,1,308,TA,TA,Y,13.470935,0.0,0.0,0.0,0.0,0,,MnPrv,,0,7,2008,WD,Normal,130250
